Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Inception,False,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,tt1375666,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",2010-07-14,825532764.0,148.0,8.1,14075.0,114007.5
Interstellar,False,165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,tt0816692,en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,32.213481,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']",2014-11-05,675120017.0,169.0,8.1,11187.0,90614.7
The Avengers,False,220000000,"['Science Fiction', 'Action', 'Adventure']",24428,tt0848228,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",89.887648,"['Paramount Pictures', 'Marvel Studios']",2012-04-25,1519557910.0,143.0,7.4,12000.0,88800.0
Avatar,False,237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995,tt0499549,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",185.070892,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",2009-12-10,2787965087.0,162.0,7.2,12114.0,87220.8
Deadpool,False,58000000,"['Action', 'Adventure', 'Comedy']",293660,tt1431045,en,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",187.860492,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']",2016-02-09,783112979.0,108.0,7.4,11444.0,84685.6
Guardians of the Galaxy,False,170000000,"['Action', 'Science Fiction', 'Adventure']",118340,tt2015381,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",53.291601,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']",2014-07-30,773328629.0,121.0,7.9,10014.0,79110.6
The Lord of the Rings: The Fellowship of the Ring,False,93000000,"['Adventure', 'Fantasy', 'Action']",120,tt0120737,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']",2001-12-18,871368364.0,178.0,8.0,8892.0,71136.0
Mad Max: Fury Road,False,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",76341,tt1392190,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",29.36178,"['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']",2015-05-13,378858340.0,120.0,7.3,9629.0,70291.7
The Lord of the Rings: The Return of the King,False,94000000,"['Adventure', 'Fantasy', 'Action']",122,tt0167260,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,"['WingNut Films', 'New Line Cinema']",2003-12-01,1118888979.0,201.0,8.1,8226.0,66630.59999999999
The Hunger Games,False,75000000,"['Science Fiction', 'Adventure', 'Fantasy']",70160,tt1392170,en,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",20.031667,"['Lionsgate', 'Color Force']",2012-03-12,691210692.0,142.0,6.9,9634.0,66474.6
