Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Forrest Gump,False,55000000,"['Comedy', 'Drama', 'Romance']",13,tt0109830,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,['Paramount Pictures'],1994-07-06,677945399.0,142.0,8.2,8147.0,66805.4
Titanic,False,200000000,"['Drama', 'Romance', 'Thriller']",597,tt0120338,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",1997-11-18,1845034188.0,194.0,7.5,7770.0,58275.0
Beauty and the Beast,False,160000000,"['Family', 'Fantasy', 'Romance']",321612,tt2771200,en,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,287.253654,"['Walt Disney Pictures', 'Mandeville Films']",2017-03-16,1262886337.0,129.0,6.8,5530.0,37604.0
La La Land,False,30000000,"['Comedy', 'Drama', 'Music', 'Romance']",313369,tt3783958,en,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",19.681686,"['Summit Entertainment', 'Marc Platt Productions', 'Gilbert Films', 'Black Label Media', 'Impostor Pictures']",2016-11-29,445435700.0,128.0,7.9,4745.0,37485.5
Silver Linings Playbook,False,21000000,"['Drama', 'Comedy', 'Romance']",82693,tt1045658,en,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",14.488110999999998,['The Weinstein Company'],2012-09-08,205738714.0,122.0,7.0,4840.0,33880.0
Her,False,23000000,"['Romance', 'Science Fiction', 'Drama']",152601,tt1798709,en,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",13.829515,"['Warner Bros.', 'Annapurna Pictures']",2013-12-18,47351251.0,126.0,7.9,4215.0,33298.5
Maleficent,False,180000000,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",102651,tt1587310,en,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.",19.467404,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']",2014-05-28,758539785.0,97.0,7.0,4607.0,32249.0
Eternal Sunshine of the Spotless Mind,False,20000000,"['Science Fiction', 'Drama', 'Romance']",38,tt0338013,en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",12.906327,"['Anonymous Content', 'This Is That Productions', 'Focus Features']",2004-03-19,72258126.0,108.0,7.9,3758.0,29688.2
The Fault in Our Stars,False,12000000,"['Romance', 'Drama']",222935,tt2582846,en,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",16.274653,"['Fox 2000 Pictures', 'Temple Hill Entertainment', 'TSG Entertainment']",2014-05-16,307166834.0,125.0,7.6,3868.0,29396.8
The Great Gatsby,False,105000000,"['Drama', 'Romance']",64682,tt1343092,en,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",17.598936,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']",2013-05-10,351040419.0,143.0,7.3,3885.0,28360.5
